persona,Altura,Peso
1,1.00,18.0
2,1.01,18.2
3,1.02,18.4
4,1.03,18.6
5,1.04,18.8
6,1.05,19.0
7,1.06,19.2
8,1.07,19.4
9,1.08,19.6
10,1.09,19.8
11,1.10,20.0
12,1.11,20.2
13,1.12,20.4
14,1.13,20.6
15,1.14,20.8
16,1.15,21.0
17,1.16,21.2
18,1.17,21.4
19,1.18,21.6
20,1.19,21.8
21,1.20,22.0
22,1.21,22.2
23,1.22,22.4
24,1.23,22.6
25,1.24,22.8
26,1.25,23.0
27,1.26,23.2
28,1.27,23.4
29,1.28,23.6
30,1.29,23.8
31,1.30,24.0
32,1.31,24.2
33,1.32,24.4
34,1.33,24.6
35,1.34,24.8
36,1.35,25.0
37,1.36,25.2
38,1.37,25.4
39,1.38,25.6
40,1.39,25.8
41,1.40,26.0
42,1.41,26.2
43,1.42,26.4
44,1.43,26.6
45,1.44,26.8
46,1.45,27.0
47,1.46,27.2
48,1.47,27.4
49,1.48,27.6
50,1.49,27.8
51, 0.99, 17.8
52, 0.98, 17.6
53, 0.97, 17.4
